120
91	220
75	86
44	108
42	42
6	66
91	226
59	232
70	204
24	128
72	112
88	226
64	215
64	213
3	183
78	121
33	164
89	177
50	200
73	134
16	198
53	222
92	269
7	146
15	183
43	129
41	201
75	95
9	45
89	103
47	72
13	87
51	61
94	197
94	203
36	193
61	170
15	47
87	200
95	262
99	256
54	214
17	137
98	248
31	101
34	143
16	111
31	92
75	195
59	160
7	103
54	208
51	224
57	202
38	174
5	174
93	187
21	170
95	111
67	251
73	239
27	100
16	104
49	203
98	247
54	225
81	112
26	86
99	169
69	232
97	109
85	256
10	75
24	126
69	230
64	115
25	187
19	126
54	168
56	137
56	209
73	226
8	26
17	76
70	126
64	127
19	50
63	97
11	203
68	158
27	76
44	131
22	194
80	147
29	132
10	53
35	87
31	213
75	253
70	139
69	192
73	221
53	180
33	98
6	168
79	89
55	144
30	65
45	176
7	143
39	236
43	123
65	263
64	179
66	175
96	157
56	151
53	96
45	131
60	65
49	207
